function_name,feature_owner,purpose,ai_or_non_ai,provider_path,credit_relevance,usage_logging_relevance,billing_relevance,status,risk_level,notes
accelerate-fetch,Programs / Accelerate,"Program access, completion, credentialing, badge verification, or external fetch",ai_or_non_ai,n/a,none observed,unknown,program revenue relevance,partial,medium,Observed at supabase/functions/accelerate-fetch/index.ts; public Atlas summary only.
admin-users,Admin,Admin user management or provider key validation,non_ai,n/a,none observed,unknown,none,live,high,Observed at supabase/functions/admin-users/index.ts; public Atlas summary only.
agent-action-execute,Agent Channels,"Agent channel setup, webhook, broadcast, action execution, or community posting",ai_or_non_ai,agent runner / ai-route mix,partial,channel messages/logs,none,partial,high,Observed at supabase/functions/agent-action-execute/index.ts; public Atlas summary only.
agent-channel-broadcast,Agent Channels,"Agent channel setup, webhook, broadcast, action execution, or community posting",ai_or_non_ai,agent runner / ai-route mix,partial,channel messages/logs,none,partial,high,Observed at supabase/functions/agent-channel-broadcast/index.ts; public Atlas summary only.
agent-channel-setup,Agent Channels,"Agent channel setup, webhook, broadcast, action execution, or community posting",ai_or_non_ai,agent runner / ai-route mix,partial,channel messages/logs,none,partial,high,Observed at supabase/functions/agent-channel-setup/index.ts; public Atlas summary only.
agent-community-post,Agent Channels,"Agent channel setup, webhook, broadcast, action execution, or community posting",ai_or_non_ai,agent runner / ai-route mix,partial,channel messages/logs,none,partial,high,Observed at supabase/functions/agent-community-post/index.ts; public Atlas summary only.
agent-discord-webhook,Agent Channels,"Agent channel setup, webhook, broadcast, action execution, or community posting",ai_or_non_ai,agent runner / ai-route mix,partial,channel messages/logs,none,partial,high,Observed at supabase/functions/agent-discord-webhook/index.ts; public Atlas summary only.
agent-slack-webhook,Agent Channels,"Agent channel setup, webhook, broadcast, action execution, or community posting",ai_or_non_ai,agent runner / ai-route mix,partial,channel messages/logs,none,partial,high,Observed at supabase/functions/agent-slack-webhook/index.ts; public Atlas summary only.
agent-sms-webhook,Agent Channels,"Agent channel setup, webhook, broadcast, action execution, or community posting",ai_or_non_ai,agent runner / ai-route mix,partial,channel messages/logs,none,partial,high,Observed at supabase/functions/agent-sms-webhook/index.ts; public Atlas summary only.
agent-telegram-webhook,Agent Channels,"Agent channel setup, webhook, broadcast, action execution, or community posting",ai_or_non_ai,agent runner / ai-route mix,partial,channel messages/logs,none,partial,high,Observed at supabase/functions/agent-telegram-webhook/index.ts; public Atlas summary only.
agent-whatsapp-webhook,Agent Channels,"Agent channel setup, webhook, broadcast, action execution, or community posting",ai_or_non_ai,agent runner / ai-route mix,partial,channel messages/logs,none,partial,high,Observed at supabase/functions/agent-whatsapp-webhook/index.ts; public Atlas summary only.
ai-route,AI Control Plane,"Canonical AI routing, key pool, tier gates, credits, fallback, audit events",ai,admin provider pool,core,ai_route_events/admin_audit_log,credits and limits,marketable_now,high,Observed at supabase/functions/ai-route/index.ts; public Atlas summary only.
ai-user-tick,Automation,Scheduled or explicit automation execution,ai_or_non_ai,ai-route when LLM involved,partial,flow/operator logs,none,partial,high,Observed at supabase/functions/ai-user-tick/index.ts; public Atlas summary only.
autopost-tick,Automation,Scheduled or explicit automation execution,ai_or_non_ai,ai-route when LLM involved,partial,flow/operator logs,none,partial,high,Observed at supabase/functions/autopost-tick/index.ts; public Atlas summary only.
check-subscription,Monetization,"Stripe, entitlement, subscription, payout, or paid access flow",non_ai,n/a,indirect,unknown,core,marketable_now,high,Observed at supabase/functions/check-subscription/index.ts; public Atlas summary only.
confirm-arsenal-access,Monetization,"Stripe, entitlement, subscription, payout, or paid access flow",non_ai,n/a,indirect,unknown,core,marketable_now,high,Observed at supabase/functions/confirm-arsenal-access/index.ts; public Atlas summary only.
create-arsenal-access-checkout,Monetization,"Stripe, entitlement, subscription, payout, or paid access flow",non_ai,n/a,indirect,unknown,core,marketable_now,high,Observed at supabase/functions/create-arsenal-access-checkout/index.ts; public Atlas summary only.
create-checkout,Monetization,"Stripe, entitlement, subscription, payout, or paid access flow",non_ai,n/a,indirect,unknown,core,marketable_now,high,Observed at supabase/functions/create-checkout/index.ts; public Atlas summary only.
create-connect-account,Monetization,"Stripe, entitlement, subscription, payout, or paid access flow",non_ai,n/a,indirect,unknown,core,marketable_now,high,Observed at supabase/functions/create-connect-account/index.ts; public Atlas summary only.
create-credit-topup-checkout,Monetization,"Stripe, entitlement, subscription, payout, or paid access flow",non_ai,n/a,credit_topup,unknown,core,marketable_now,high,Observed at supabase/functions/create-credit-topup-checkout/index.ts; public Atlas summary only.
customer-portal,Monetization,"Stripe, entitlement, subscription, payout, or paid access flow",non_ai,n/a,indirect,unknown,core,marketable_now,high,Observed at supabase/functions/customer-portal/index.ts; public Atlas summary only.
experience-entitlement,Monetization,"Stripe, entitlement, subscription, payout, or paid access flow",non_ai,n/a,indirect,unknown,core,marketable_now,high,Observed at supabase/functions/experience-entitlement/index.ts; public Atlas summary only.
experience-generate,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/experience-generate/index.ts; public Atlas summary only.
fetch-knowledge-url,Vault / Knowledge,Workspace files or knowledge ingestion endpoint,non_ai,n/a,none observed,unknown,none,live,medium,Observed at supabase/functions/fetch-knowledge-url/index.ts; public Atlas summary only.
flow-executor,Automation,Scheduled or explicit automation execution,ai_or_non_ai,ai-route when LLM involved,partial,flow/operator logs,none,partial,high,Observed at supabase/functions/flow-executor/index.ts; public Atlas summary only.
flow-tool-execute,Automation,Scheduled or explicit automation execution,ai_or_non_ai,ai-route when LLM involved,partial,flow/operator logs,none,partial,high,Observed at supabase/functions/flow-tool-execute/index.ts; public Atlas summary only.
harness-route,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/harness-route/index.ts; public Atlas summary only.
instruction-preview,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/instruction-preview/index.ts; public Atlas summary only.
instruction-stream,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/instruction-stream/index.ts; public Atlas summary only.
link-helper,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/link-helper/index.ts; public Atlas summary only.
linkedin-oauth,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/linkedin-oauth/index.ts; public Atlas summary only.
linkedin-publish,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/linkedin-publish/index.ts; public Atlas summary only.
media-analyze,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/media-analyze/index.ts; public Atlas summary only.
night-shift-gate,Business Spaces,Gate or run Business Space Night Shift work,ai,ai-route,pricing/reserve/debit relevance,business_space_night_shifts/operator logs,none,live,medium,Observed at supabase/functions/night-shift-gate/index.ts; public Atlas summary only.
night-shift-run,Business Spaces,Gate or run Business Space Night Shift work,ai,ai-route,pricing/reserve/debit relevance,business_space_night_shifts/operator logs,none,live,medium,Observed at supabase/functions/night-shift-run/index.ts; public Atlas summary only.
notion-oauth,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/notion-oauth/index.ts; public Atlas summary only.
openai-image-probe,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/openai-image-probe/index.ts; public Atlas summary only.
program-access,Programs / Accelerate,"Program access, completion, credentialing, badge verification, or external fetch",ai_or_non_ai,n/a,none observed,unknown,program revenue relevance,partial,medium,Observed at supabase/functions/program-access/index.ts; public Atlas summary only.
program-completion,Programs / Accelerate,"Program access, completion, credentialing, badge verification, or external fetch",ai_or_non_ai,n/a,none observed,unknown,program revenue relevance,partial,medium,Observed at supabase/functions/program-completion/index.ts; public Atlas summary only.
program-credentials,Programs / Accelerate,"Program access, completion, credentialing, badge verification, or external fetch",ai_or_non_ai,n/a,none observed,unknown,program revenue relevance,partial,medium,Observed at supabase/functions/program-credentials/index.ts; public Atlas summary only.
prompt-pack-enhance,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/prompt-pack-enhance/index.ts; public Atlas summary only.
prompt-pack-generate-daily,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/prompt-pack-generate-daily/index.ts; public Atlas summary only.
prompt-pack-install,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/prompt-pack-install/index.ts; public Atlas summary only.
realtime-room,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/realtime-room/index.ts; public Atlas summary only.
reminder-tick,Automation,Scheduled or explicit automation execution,ai_or_non_ai,ai-route when LLM involved,partial,flow/operator logs,none,partial,high,Observed at supabase/functions/reminder-tick/index.ts; public Atlas summary only.
schedule-tick,Automation,Scheduled or explicit automation execution,ai_or_non_ai,ai-route when LLM involved,partial,flow/operator logs,none,partial,high,Observed at supabase/functions/schedule-tick/index.ts; public Atlas summary only.
smart-solution-plan,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/smart-solution-plan/index.ts; public Atlas summary only.
stripe-webhook,Monetization,"Stripe, entitlement, subscription, payout, or paid access flow",non_ai,n/a,indirect,unknown,core,marketable_now,high,Observed at supabase/functions/stripe-webhook/index.ts; public Atlas summary only.
tune-assist,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/tune-assist/index.ts; public Atlas summary only.
verify-accelerate-badge,Programs / Accelerate,"Program access, completion, credentialing, badge verification, or external fetch",ai_or_non_ai,n/a,none observed,unknown,program revenue relevance,partial,medium,Observed at supabase/functions/verify-accelerate-badge/index.ts; public Atlas summary only.
verify-provider-key,Admin,Admin user management or provider key validation,non_ai,n/a,none observed,unknown,none,live,high,Observed at supabase/functions/verify-provider-key/index.ts; public Atlas summary only.
web-search,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/web-search/index.ts; public Atlas summary only.
workspace-fs,Vault / Knowledge,Workspace files or knowledge ingestion endpoint,non_ai,n/a,none observed,unknown,none,live,medium,Observed at supabase/functions/workspace-fs/index.ts; public Atlas summary only.
z-engine-stream,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/z-engine-stream/index.ts; public Atlas summary only.
zen-daily-agent,AI Features,Edge API endpoint,ai,dedicated route/provider or ai-route,partial,partial,none,partial,medium,Observed at supabase/functions/zen-daily-agent/index.ts; public Atlas summary only.
zen-daily-og-fetch,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/zen-daily-og-fetch/index.ts; public Atlas summary only.
zen-daily-today-autogen,Platform,Edge API endpoint,non_ai,n/a,none observed,unknown,none,inventory_only,medium,Observed at supabase/functions/zen-daily-today-autogen/index.ts; public Atlas summary only.
